Country,Year,Patents
Albania,2009,1.0
Albania,2010,0.0
Albania,2011,0.0
Albania,2012,0.0
Albania,2013,0.0
Albania,2014,3.0
Albania,2015,0.0
Albania,2016,2.0
Albania,2017,0.0
Albania,2018,0.0
Albania,2019,2.0
Albania,2020,0.0
Albania,2021,3.0
Albania,2022,7.0
Albania,2023,8.0
Austria,2004,1000.0
Austria,2005,1053.0
Austria,2006,1146.0
Austria,2007,1382.0
Austria,2008,1503.0
Austria,2009,1496.0
Austria,2010,1744.0
Austria,2011,1734.0
Austria,2012,1874.0
Austria,2013,1993.0
Austria,2014,1964.0
Austria,2015,1989.0
Austria,2016,2024.0
Austria,2017,2209.0
Austria,2018,2281.0
Austria,2019,2346.0
Austria,2020,2306.0
Austria,2021,2309.0
Austria,2022,2381.0
Austria,2023,2355.0
Belgium,2004,1493.0
Belgium,2005,1658.0
Belgium,2006,1842.0
Belgium,2007,1898.0
Belgium,2008,1899.0
Belgium,2009,1629.0
Belgium,2010,2045.0
Belgium,2011,2014.0
Belgium,2012,1886.0
Belgium,2013,1882.0
Belgium,2014,1927.0
Belgium,2015,2041.0
Belgium,2016,2211.0
Belgium,2017,2152.0
Belgium,2018,2348.0
Belgium,2019,2422.0
Belgium,2020,2406.0
Belgium,2021,2480.0
Belgium,2022,2603.0
Belgium,2023,2547.0
Bulgaria,2004,16.0
Bulgaria,2005,11.0
Bulgaria,2006,12.0
Bulgaria,2007,16.0
Bulgaria,2008,15.0
Bulgaria,2009,19.0
Bulgaria,2010,11.0
Bulgaria,2011,16.0
Bulgaria,2012,13.0
Bulgaria,2013,23.0
Bulgaria,2014,34.0
Bulgaria,2015,33.0
Bulgaria,2016,20.0
Bulgaria,2017,32.0
Bulgaria,2018,31.0
Bulgaria,2019,35.0
Bulgaria,2020,54.0
Bulgaria,2021,43.0
Bulgaria,2022,46.0
Bulgaria,2023,40.0
Switzerland,2004,4663.0
Switzerland,2005,5027.0
Switzerland,2006,5503.0
Switzerland,2007,5871.0
Switzerland,2008,5942.0
Switzerland,2009,5887.0
Switzerland,2010,6864.0
Switzerland,2011,6553.0
Switzerland,2012,6746.0
Switzerland,2013,6742.0
Switzerland,2014,6910.0
Switzerland,2015,7116.0
Switzerland,2016,7302.0
Switzerland,2017,7354.0
Switzerland,2018,7961.0
Switzerland,2019,8266.0
Switzerland,2020,8125.0
Switzerland,2021,8504.0
Switzerland,2022,9160.0
Switzerland,2023,9410.0
Cyprus,2004,20.0
Cyprus,2005,35.0
Cyprus,2006,47.0
Cyprus,2007,42.0
Cyprus,2008,56.0
Cyprus,2009,42.0
Cyprus,2010,49.0
Cyprus,2011,55.0
Cyprus,2012,56.0
Cyprus,2013,41.0
Cyprus,2014,44.0
Cyprus,2015,39.0
Cyprus,2016,36.0
Cyprus,2017,49.0
Cyprus,2018,49.0
Cyprus,2019,48.0
Cyprus,2020,65.0
Cyprus,2021,42.0
Cyprus,2022,43.0
Cyprus,2023,53.0
Czechia,2004,84.0
Czechia,2005,73.0
Czechia,2006,82.0
Czechia,2007,96.0
Czechia,2008,110.0
Czechia,2009,135.0
Czechia,2010,167.0
Czechia,2011,162.0
Czechia,2012,140.0
Czechia,2013,151.0
Czechia,2014,167.0
Czechia,2015,213.0
Czechia,2016,189.0
Czechia,2017,206.0
Czechia,2018,248.0
Czechia,2019,203.0
Czechia,2020,206.0
Czechia,2021,201.0
Czechia,2022,222.0
Czechia,2023,241.0
Germany,2004,23044.0
Germany,2005,23789.0
Germany,2006,24806.0
Germany,2007,25190.0
Germany,2008,26667.0
Germany,2009,25118.0
Germany,2010,27328.0
Germany,2011,26202.0
Germany,2012,27249.0
Germany,2013,26510.0
Germany,2014,25633.0
Germany,2015,24807.0
Germany,2016,24932.0
Germany,2017,25539.0
Germany,2018,26663.0
Germany,2019,26762.0
Germany,2020,25882.0
Germany,2021,25891.0
Germany,2022,24612.0
Germany,2023,24966.0
Denmark,2004,984.0
Denmark,2005,1174.0
Denmark,2006,1246.0
Denmark,2007,1400.0
Denmark,2008,1584.0
Denmark,2009,1477.0
Denmark,2010,1817.0
Denmark,2011,1782.0
Denmark,2012,1605.0
Denmark,2013,1942.0
Denmark,2014,1983.0
Denmark,2015,1920.0
Denmark,2016,1855.0
Denmark,2017,2089.0
Denmark,2018,2385.0
Denmark,2019,2415.0
Denmark,2020,2420.0
Denmark,2021,2646.0
Denmark,2022,2685.0
Denmark,2023,2596.0
Estonia,2004,4.0
Estonia,2005,3.0
Estonia,2006,7.0
Estonia,2007,13.0
Estonia,2008,7.0
Estonia,2009,32.0
Estonia,2010,27.0
Estonia,2011,28.0
Estonia,2012,41.0
Estonia,2013,41.0
Estonia,2014,38.0
Estonia,2015,32.0
Estonia,2016,43.0
Estonia,2017,54.0
Estonia,2018,47.0
Estonia,2019,48.0
Estonia,2020,57.0
Estonia,2021,69.0
Estonia,2022,66.0
Estonia,2023,71.0
Greece,2004,69.0
Greece,2005,67.0
Greece,2006,70.0
Greece,2007,83.0
Greece,2008,89.0
Greece,2009,102.0
Greece,2010,83.0
Greece,2011,78.0
Greece,2012,79.0
Greece,2013,68.0
Greece,2014,95.0
Greece,2015,91.0
Greece,2016,75.0
Greece,2017,102.0
Greece,2018,120.0
Greece,2019,141.0
Greece,2020,135.0
Greece,2021,203.0
Greece,2022,186.0
Greece,2023,157.0
Spain,2004,846.0
Spain,2005,972.0
Spain,2006,1101.0
Spain,2007,1283.0
Spain,2008,1327.0
Spain,2009,1255.0
Spain,2010,1430.0
Spain,2011,1404.0
Spain,2012,1544.0
Spain,2013,1504.0
Spain,2014,1471.0
Spain,2015,1518.0
Spain,2016,1574.0
Spain,2017,1671.0
Spain,2018,1781.0
Spain,2019,1885.0
Spain,2020,1794.0
Spain,2021,1945.0
Spain,2022,1974.0
Spain,2023,2111.0
Finland,2004,1608.0
Finland,2005,1514.0
Finland,2006,1674.0
Finland,2007,2036.0
Finland,2008,1802.0
Finland,2009,1413.0
Finland,2010,1617.0
Finland,2011,1548.0
Finland,2012,1851.0
Finland,2013,1894.0
Finland,2014,2182.0
Finland,2015,1993.0
Finland,2016,1796.0
Finland,2017,1797.0
Finland,2018,1728.0
Finland,2019,1705.0
Finland,2020,1899.0
Finland,2021,2108.0
Finland,2022,2140.0
Finland,2023,2336.0
France,2004,8079.0
France,2005,8034.0
France,2006,8051.0
France,2007,8359.0
France,2008,9093.0
France,2009,8974.0
France,2010,9575.0
France,2011,9617.0
France,2012,9897.0
France,2013,9835.0
France,2014,10614.0
France,2015,10760.0
France,2016,10484.0
France,2017,10619.0
France,2018,10468.0
France,2019,10233.0
France,2020,10614.0
France,2021,10693.0
France,2022,10983.0
France,2023,10814.0
Croatia,2004,24.0
Croatia,2005,26.0
Croatia,2006,30.0
Croatia,2007,38.0
Croatia,2008,24.0
Croatia,2009,20.0
Croatia,2010,17.0
Croatia,2011,18.0
Croatia,2012,19.0
Croatia,2013,10.0
Croatia,2014,12.0
Croatia,2015,9.0
Croatia,2016,16.0
Croatia,2017,10.0
Croatia,2018,14.0
Croatia,2019,19.0
Croatia,2020,23.0
Croatia,2021,27.0
Croatia,2022,32.0
Croatia,2023,51.0
Hungary,2004,94.0
Hungary,2005,81.0
Hungary,2006,93.0
Hungary,2007,100.0
Hungary,2008,108.0
Hungary,2009,116.0
Hungary,2010,107.0
Hungary,2011,96.0
Hungary,2012,105.0
Hungary,2013,103.0
Hungary,2014,114.0
Hungary,2015,97.0
Hungary,2016,107.0
Hungary,2017,95.0
Hungary,2018,118.0
Hungary,2019,97.0
Hungary,2020,109.0
Hungary,2021,119.0
Hungary,2022,104.0
Hungary,2023,108.0
Ireland,2004,326.0
Ireland,2005,311.0
Ireland,2006,349.0
Ireland,2007,423.0
Ireland,2008,484.0
Ireland,2009,622.0
Ireland,2010,637.0
Ireland,2011,653.0
Ireland,2012,609.0
Ireland,2013,566.0
Ireland,2014,622.0
Ireland,2015,614.0
Ireland,2016,727.0
Ireland,2017,660.0
Ireland,2018,826.0
Ireland,2019,882.0
Ireland,2020,980.0
Ireland,2021,1015.0
Ireland,2022,1180.0
Ireland,2023,1057.0
Iceland,2004,31.0
Iceland,2005,28.0
Iceland,2006,47.0
Iceland,2007,36.0
Iceland,2008,36.0
Iceland,2009,46.0
Iceland,2010,53.0
Iceland,2011,45.0
Iceland,2012,50.0
Iceland,2013,38.0
Iceland,2014,42.0
Iceland,2015,45.0
Iceland,2016,39.0
Iceland,2017,56.0
Iceland,2018,33.0
Iceland,2019,50.0
Iceland,2020,41.0
Iceland,2021,63.0
Iceland,2022,48.0
Iceland,2023,42.0
Italy,2004,3998.0
Italy,2005,4199.0
Italy,2006,4173.0
Italy,2007,4408.0
Italy,2008,4357.0
Italy,2009,3879.0
Italy,2010,4078.0
Italy,2011,3970.0
Italy,2012,3744.0
Italy,2013,3706.0
Italy,2014,3649.0
Italy,2015,3986.0
Italy,2016,4154.0
Italy,2017,4360.0
Italy,2018,4404.0
Italy,2019,4469.0
Italy,2020,4619.0
Italy,2021,4920.0
Italy,2022,4867.0
Italy,2023,5053.0
Liechtenstein,2004,146.0
Liechtenstein,2005,152.0
Liechtenstein,2006,167.0
Liechtenstein,2007,238.0
Liechtenstein,2008,225.0
Liechtenstein,2009,228.0
Liechtenstein,2010,279.0
Liechtenstein,2011,222.0
Liechtenstein,2012,199.0
Liechtenstein,2013,250.0
Liechtenstein,2014,278.0
Liechtenstein,2015,371.0
Liechtenstein,2016,374.0
Liechtenstein,2017,380.0
Liechtenstein,2018,432.0
Liechtenstein,2019,437.0
Liechtenstein,2020,439.0
Liechtenstein,2021,493.0
Liechtenstein,2022,458.0
Liechtenstein,2023,447.0
Lithuania,2004,2.0
Lithuania,2005,1.0
Lithuania,2006,1.0
Lithuania,2007,9.0
Lithuania,2008,11.0
Lithuania,2009,13.0
Lithuania,2010,9.0
Lithuania,2011,14.0
Lithuania,2012,19.0
Lithuania,2013,22.0
Lithuania,2014,24.0
Lithuania,2015,39.0
Lithuania,2016,26.0
Lithuania,2017,24.0
Lithuania,2018,37.0
Lithuania,2019,29.0
Lithuania,2020,50.0
Lithuania,2021,71.0
Lithuania,2022,79.0
Lithuania,2023,129.0
Luxembourg,2004,183.0
Luxembourg,2005,181.0
Luxembourg,2006,203.0
Luxembourg,2007,259.0
Luxembourg,2008,274.0
Luxembourg,2009,364.0
Luxembourg,2010,420.0
Luxembourg,2011,393.0
Luxembourg,2012,449.0
Luxembourg,2013,429.0
Luxembourg,2014,454.0
Luxembourg,2015,425.0
Luxembourg,2016,556.0
Luxembourg,2017,533.0
Luxembourg,2018,431.0
Luxembourg,2019,415.0
Luxembourg,2020,402.0
Luxembourg,2021,433.0
Luxembourg,2022,344.0
Luxembourg,2023,385.0
Latvia,2004,4.0
Latvia,2005,7.0
Latvia,2006,10.0
Latvia,2007,20.0
Latvia,2008,42.0
Latvia,2009,49.0
Latvia,2010,32.0
Latvia,2011,28.0
Latvia,2012,25.0
Latvia,2013,80.0
Latvia,2014,8.0
Latvia,2015,30.0
Latvia,2016,11.0
Latvia,2017,14.0
Latvia,2018,13.0
Latvia,2019,22.0
Latvia,2020,30.0
Latvia,2021,22.0
Latvia,2022,21.0
Latvia,2023,27.0
Montenegro,2009,0.0
Montenegro,2010,0.0
Montenegro,2011,0.0
Montenegro,2012,1.0
Montenegro,2013,1.0
Montenegro,2014,0.0
Montenegro,2015,0.0
Montenegro,2016,1.0
Montenegro,2017,1.0
Montenegro,2018,2.0
Montenegro,2019,0.0
Montenegro,2020,2.0
Montenegro,2021,1.0
Montenegro,2022,0.0
Montenegro,2023,0.0
North Macedonia,2009,0.0
North Macedonia,2010,0.0
North Macedonia,2011,0.0
North Macedonia,2012,0.0
North Macedonia,2013,1.0
North Macedonia,2014,1.0
North Macedonia,2015,0.0
North Macedonia,2016,1.0
North Macedonia,2017,0.0
North Macedonia,2018,0.0
North Macedonia,2019,1.0
North Macedonia,2020,1.0
North Macedonia,2021,5.0
North Macedonia,2022,3.0
North Macedonia,2023,4.0
Malta,2004,8.0
Malta,2005,7.0
Malta,2006,15.0
Malta,2007,27.0
Malta,2008,27.0
Malta,2009,61.0
Malta,2010,31.0
Malta,2011,30.0
Malta,2012,24.0
Malta,2013,43.0
Malta,2014,62.0
Malta,2015,94.0
Malta,2016,74.0
Malta,2017,69.0
Malta,2018,51.0
Malta,2019,58.0
Malta,2020,63.0
Malta,2021,56.0
Malta,2022,72.0
Malta,2023,59.0
Netherlands,2004,6974.0
Netherlands,2005,7799.0
Netherlands,2006,7360.0
Netherlands,2007,7118.0
Netherlands,2008,7360.0
Netherlands,2009,6694.0
Netherlands,2010,5965.0
Netherlands,2011,5627.0
Netherlands,2012,5067.0
Netherlands,2013,5852.0
Netherlands,2014,6874.0
Netherlands,2015,7147.0
Netherlands,2016,6860.0
Netherlands,2017,7043.0
Netherlands,2018,7142.0
Netherlands,2019,6942.0
Netherlands,2020,6386.0
Netherlands,2021,6578.0
Netherlands,2022,6796.0
Netherlands,2023,7033.0
Norway,2009,475.0
Norway,2010,509.0
Norway,2011,467.0
Norway,2012,555.0
Norway,2013,509.0
Norway,2014,529.0
Norway,2015,510.0
Norway,2016,523.0
Norway,2017,531.0
Norway,2018,610.0
Norway,2019,646.0
Norway,2020,652.0
Norway,2021,629.0
Norway,2022,657.0
Norway,2023,697.0
Poland,2004,93.0
Poland,2005,111.0
Poland,2006,127.0
Poland,2007,104.0
Poland,2008,169.0
Poland,2009,174.0
Poland,2010,205.0
Poland,2011,246.0
Poland,2012,383.0
Poland,2013,372.0
Poland,2014,482.0
Poland,2015,566.0
Poland,2016,393.0
Poland,2017,446.0
Poland,2018,519.0
Poland,2019,463.0
Poland,2020,478.0
Poland,2021,522.0
Poland,2022,607.0
Poland,2023,671.0
Portugal,2004,52.0
Portugal,2005,41.0
Portugal,2006,79.0
Portugal,2007,71.0
Portugal,2008,85.0
Portugal,2009,113.0
Portugal,2010,81.0
Portugal,2011,81.0
Portugal,2012,76.0
Portugal,2013,95.0
Portugal,2014,113.0
Portugal,2015,141.0
Portugal,2016,157.0
Portugal,2017,150.0
Portugal,2018,221.0
Portugal,2019,272.0
Portugal,2020,251.0
Portugal,2021,290.0
Portugal,2022,312.0
Portugal,2023,329.0
Romania,2004,11.0
Romania,2005,8.0
Romania,2006,16.0
Romania,2007,16.0
Romania,2008,18.0
Romania,2009,16.0
Romania,2010,14.0
Romania,2011,20.0
Romania,2012,35.0
Romania,2013,33.0
Romania,2014,28.0
Romania,2015,30.0
Romania,2016,31.0
Romania,2017,52.0
Romania,2018,50.0
Romania,2019,40.0
Romania,2020,55.0
Romania,2021,31.0
Romania,2022,46.0
Romania,2023,42.0
Serbia,2009,4.0
Serbia,2010,8.0
Serbia,2011,6.0
Serbia,2012,5.0
Serbia,2013,11.0
Serbia,2014,11.0
Serbia,2015,4.0
Serbia,2016,1.0
Serbia,2017,10.0
Serbia,2018,9.0
Serbia,2019,9.0
Serbia,2020,8.0
Serbia,2021,20.0
Serbia,2022,13.0
Serbia,2023,14.0
Sweden,2004,2429.0
Sweden,2005,2486.0
Sweden,2006,2548.0
Sweden,2007,2730.0
Sweden,2008,3134.0
Sweden,2009,3147.0
Sweden,2010,3590.0
Sweden,2011,3638.0
Sweden,2012,3518.0
Sweden,2013,3674.0
Sweden,2014,3873.0
Sweden,2015,3839.0
Sweden,2016,3547.0
Sweden,2017,3783.0
Sweden,2018,4055.0
Sweden,2019,4395.0
Sweden,2020,4422.0
Sweden,2021,4947.0
Sweden,2022,5040.0
Sweden,2023,5139.0
Slovenia,2004,51.0
Slovenia,2005,87.0
Slovenia,2006,90.0
Slovenia,2007,115.0
Slovenia,2008,128.0
Slovenia,2009,115.0
Slovenia,2010,131.0
Slovenia,2011,129.0
Slovenia,2012,108.0
Slovenia,2013,135.0
Slovenia,2014,125.0
Slovenia,2015,118.0
Slovenia,2016,113.0
Slovenia,2017,98.0
Slovenia,2018,100.0
Slovenia,2019,122.0
Slovenia,2020,165.0
Slovenia,2021,116.0
Slovenia,2022,123.0
Slovenia,2023,153.0
Slovakia,2004,12.0
Slovakia,2005,16.0
Slovakia,2006,19.0
Slovakia,2007,19.0
Slovakia,2008,28.0
Slovakia,2009,26.0
Slovakia,2010,25.0
Slovakia,2011,43.0
Slovakia,2012,35.0
Slovakia,2013,29.0
Slovakia,2014,26.0
Slovakia,2015,47.0
Slovakia,2016,44.0
Slovakia,2017,41.0
Slovakia,2018,51.0
Slovakia,2019,42.0
Slovakia,2020,54.0
Slovakia,2021,43.0
Slovakia,2022,48.0
Slovakia,2023,56.0
Albania,2011,0.0
Albania,2012,0.0
Albania,2013,0.0
Albania,2014,3.0
Albania,2015,0.0
Albania,2016,2.0
Albania,2017,0.0
Albania,2018,0.0
Albania,2019,2.0
Albania,2020,1.0
Albania,2021,3.0
Albania,2022,7.0
Albania,2023,8.0
Austria,2011,1872.0
Austria,2012,2011.0
Austria,2013,2131.0
Austria,2014,2138.0
Austria,2015,2177.0
Austria,2016,2219.0
Austria,2017,2394.0
Austria,2018,2488.0
Austria,2019,2530.0
Austria,2020,2478.0
Austria,2021,2386.0
Austria,2022,2546.0
Austria,2023,2570.0
Belgium,2011,1955.0
Belgium,2012,1956.0
Belgium,2013,2106.0
Belgium,2014,2186.0
Belgium,2015,2147.0
Belgium,2016,2321.0
Belgium,2017,2240.0
Belgium,2018,2337.0
Belgium,2019,2355.0
Belgium,2020,2341.0
Belgium,2021,2477.0
Belgium,2022,2516.0
Belgium,2023,2599.0
Bulgaria,2011,21.0
Bulgaria,2012,26.0
Bulgaria,2013,35.0
Bulgaria,2014,33.0
Bulgaria,2015,43.0
Bulgaria,2016,27.0
Bulgaria,2017,36.0
Bulgaria,2018,43.0
Bulgaria,2019,48.0
Bulgaria,2020,62.0
Bulgaria,2021,48.0
Bulgaria,2022,58.0
Bulgaria,2023,50.0
Switzerland,2011,4452.0
Switzerland,2012,4536.0
Switzerland,2013,4605.0
Switzerland,2014,4580.0
Switzerland,2015,5037.0
Switzerland,2016,4895.0
Switzerland,2017,4933.0
Switzerland,2018,5271.0
Switzerland,2019,5556.0
Switzerland,2020,5582.0
Switzerland,2021,7325.0
Switzerland,2022,5788.0
Switzerland,2023,5938.0
Cyprus,2011,17.0
Cyprus,2012,25.0
Cyprus,2013,12.0
Cyprus,2014,10.0
Cyprus,2015,14.0
Cyprus,2016,15.0
Cyprus,2017,14.0
Cyprus,2018,13.0
Cyprus,2019,17.0
Cyprus,2020,24.0
Cyprus,2021,36.0
Cyprus,2022,19.0
Cyprus,2023,23.0
Czechia,2011,223.0
Czechia,2012,216.0
Czechia,2013,223.0
Czechia,2014,255.0
Czechia,2015,287.0
Czechia,2016,284.0
Czechia,2017,297.0
Czechia,2018,364.0
Czechia,2019,273.0
Czechia,2020,293.0
Czechia,2021,233.0
Czechia,2022,332.0
Czechia,2023,354.0
Germany,2011,26852.0
Germany,2012,27748.0
Germany,2013,26648.0
Germany,2014,25898.0
Germany,2015,25117.0
Germany,2016,25602.0
Germany,2017,26090.0
Germany,2018,27367.0
Germany,2019,27804.0
Germany,2020,27129.0
Germany,2021,26412.0
Germany,2022,26188.0
Germany,2023,26847.0
Denmark,2011,1867.0
Denmark,2012,1724.0
Denmark,2013,1892.0
Denmark,2014,1964.0
Denmark,2015,1896.0
Denmark,2016,1850.0
Denmark,2017,2040.0
Denmark,2018,2288.0
Denmark,2019,2253.0
Denmark,2020,2292.0
Denmark,2021,2590.0
Denmark,2022,2549.0
Denmark,2023,2531.0
Estonia,2011,46.0
Estonia,2012,48.0
Estonia,2013,50.0
Estonia,2014,36.0
Estonia,2015,36.0
Estonia,2016,45.0
Estonia,2017,57.0
Estonia,2018,50.0
Estonia,2019,53.0
Estonia,2020,59.0
Estonia,2021,70.0
Estonia,2022,62.0
Estonia,2023,67.0
Greece,2011,94.0
Greece,2012,100.0
Greece,2013,88.0
Greece,2014,125.0
Greece,2015,117.0
Greece,2016,94.0
Greece,2017,134.0
Greece,2018,150.0
Greece,2019,168.0
Greece,2020,169.0
Greece,2021,223.0
Greece,2022,242.0
Greece,2023,209.0
Spain,2011,1675.0
Spain,2012,1829.0
Spain,2013,1800.0
Spain,2014,1783.0
Spain,2015,1798.0
Spain,2016,1884.0
Spain,2017,2141.0
Spain,2018,2248.0
Spain,2019,2322.0
Spain,2020,2217.0
Spain,2021,2135.0
Spain,2022,2425.0
Spain,2023,2577.0
Finland,2011,1332.0
Finland,2012,1578.0
Finland,2013,1635.0
Finland,2014,1812.0
Finland,2015,1657.0
Finland,2016,1587.0
Finland,2017,1520.0
Finland,2018,1563.0
Finland,2019,1593.0
Finland,2020,1630.0
Finland,2021,1879.0
Finland,2022,1579.0
Finland,2023,1697.0
France,2011,9462.0
France,2012,9399.0
France,2013,9531.0
France,2014,10126.0
France,2015,10368.0
France,2016,10493.0
France,2017,10806.0
France,2018,10833.0
France,2019,10592.0
France,2020,10796.0
France,2021,10751.0
France,2022,11091.0
France,2023,10808.0
Croatia,2011,27.0
Croatia,2012,29.0
Croatia,2013,21.0
Croatia,2014,23.0
Croatia,2015,20.0
Croatia,2016,29.0
Croatia,2017,20.0
Croatia,2018,31.0
Croatia,2019,38.0
Croatia,2020,39.0
Croatia,2021,29.0
Croatia,2022,54.0
Croatia,2023,68.0
Hungary,2011,191.0
Hungary,2012,225.0
Hungary,2013,230.0
Hungary,2014,236.0
Hungary,2015,198.0
Hungary,2016,199.0
Hungary,2017,212.0
Hungary,2018,245.0
Hungary,2019,228.0
Hungary,2020,247.0
Hungary,2021,192.0
Hungary,2022,244.0
Hungary,2023,226.0
Ireland,2011,446.0
Ireland,2012,452.0
Ireland,2013,452.0
Ireland,2014,565.0
Ireland,2015,490.0
Ireland,2016,557.0
Ireland,2017,547.0
Ireland,2018,537.0
Ireland,2019,587.0
Ireland,2020,660.0
Ireland,2021,837.0
Ireland,2022,686.0
Ireland,2023,655.0
Iceland,2011,32.0
Iceland,2012,36.0
Iceland,2013,27.0
Iceland,2014,33.0
Iceland,2015,40.0
Iceland,2016,29.0
Iceland,2017,45.0
Iceland,2018,31.0
Iceland,2019,46.0
Iceland,2020,40.0
Iceland,2021,61.0
Iceland,2022,47.0
Iceland,2023,39.0
Italy,2011,4793.0
Italy,2012,4555.0
Italy,2013,4406.0
Italy,2014,4367.0
Italy,2015,4677.0
Italy,2016,4834.0
Italy,2017,5058.0
Italy,2018,5227.0
Italy,2019,5211.0
Italy,2020,5368.0
Italy,2021,5215.0
Italy,2022,5581.0
Italy,2023,5685.0
Liechtenstein,2011,43.0
Liechtenstein,2012,30.0
Liechtenstein,2013,40.0
Liechtenstein,2014,44.0
Liechtenstein,2015,66.0
Liechtenstein,2016,39.0
Liechtenstein,2017,38.0
Liechtenstein,2018,53.0
Liechtenstein,2019,49.0
Liechtenstein,2020,54.0
Liechtenstein,2021,322.0
Liechtenstein,2022,36.0
Liechtenstein,2023,38.0
Lithuania,2011,16.0
Lithuania,2012,18.0
Lithuania,2013,22.0
Lithuania,2014,25.0
Lithuania,2015,41.0
Lithuania,2016,25.0
Lithuania,2017,28.0
Lithuania,2018,38.0
Lithuania,2019,34.0
Lithuania,2020,54.0
Lithuania,2021,71.0
Lithuania,2022,84.0
Lithuania,2023,131.0
Luxembourg,2011,102.0
Luxembourg,2012,98.0
Luxembourg,2013,77.0
Luxembourg,2014,100.0
Luxembourg,2015,85.0
Luxembourg,2016,118.0
Luxembourg,2017,106.0
Luxembourg,2018,103.0
Luxembourg,2019,120.0
Luxembourg,2020,133.0
Luxembourg,2021,301.0
Luxembourg,2022,146.0
Luxembourg,2023,140.0
Latvia,2011,31.0
Latvia,2012,29.0
Latvia,2013,80.0
Latvia,2014,9.0
Latvia,2015,30.0
Latvia,2016,11.0
Latvia,2017,16.0
Latvia,2018,18.0
Latvia,2019,23.0
Latvia,2020,38.0
Latvia,2021,23.0
Latvia,2022,35.0
Latvia,2023,35.0
Montenegro,2011,0.0
Montenegro,2012,1.0
Montenegro,2013,1.0
Montenegro,2014,0.0
Montenegro,2015,0.0
Montenegro,2016,2.0
Montenegro,2017,1.0
Montenegro,2018,2.0
Montenegro,2019,0.0
Montenegro,2020,7.0
Montenegro,2021,2.0
Montenegro,2022,0.0
Montenegro,2023,0.0
North Macedonia,2011,0.0
North Macedonia,2012,0.0
North Macedonia,2013,1.0
North Macedonia,2014,1.0
North Macedonia,2015,1.0
North Macedonia,2016,2.0
North Macedonia,2017,0.0
North Macedonia,2018,0.0
North Macedonia,2019,0.0
North Macedonia,2020,1.0
North Macedonia,2021,5.0
North Macedonia,2022,2.0
North Macedonia,2023,3.0
Malta,2011,6.0
Malta,2012,2.0
Malta,2013,5.0
Malta,2014,4.0
Malta,2015,11.0
Malta,2016,7.0
Malta,2017,18.0
Malta,2018,14.0
Malta,2019,23.0
Malta,2020,21.0
Malta,2021,40.0
Malta,2022,31.0
Malta,2023,30.0
Netherlands,2011,4907.0
Netherlands,2012,4310.0
Netherlands,2013,5323.0
Netherlands,2014,6300.0
Netherlands,2015,6326.0
Netherlands,2016,6382.0
Netherlands,2017,6340.0
Netherlands,2018,6399.0
Netherlands,2019,6276.0
Netherlands,2020,5871.0
Netherlands,2021,6341.0
Netherlands,2022,6399.0
Netherlands,2023,6628.0
Norway,2011,523.0
Norway,2012,608.0
Norway,2013,589.0
Norway,2014,595.0
Norway,2015,565.0
Norway,2016,563.0
Norway,2017,542.0
Norway,2018,589.0
Norway,2019,600.0
Norway,2020,627.0
Norway,2021,633.0
Norway,2022,632.0
Norway,2023,698.0
Poland,2011,344.0
Poland,2012,497.0
Poland,2013,482.0
Poland,2014,627.0
Poland,2015,710.0
Poland,2016,569.0
Poland,2017,675.0
Poland,2018,767.0
Poland,2019,683.0
Poland,2020,665.0
Poland,2021,617.0
Poland,2022,893.0
Poland,2023,983.0
Portugal,2011,105.0
Portugal,2012,93.0
Portugal,2013,120.0
Portugal,2014,143.0
Portugal,2015,152.0
Portugal,2016,183.0
Portugal,2017,173.0
Portugal,2018,271.0
Portugal,2019,308.0
Portugal,2020,265.0
Portugal,2021,304.0
Portugal,2022,362.0
Portugal,2023,362.0
Romania,2011,54.0
Romania,2012,63.0
Romania,2013,74.0
Romania,2014,90.0
Romania,2015,128.0
Romania,2016,127.0
Romania,2017,158.0
Romania,2018,219.0
Romania,2019,162.0
Romania,2020,107.0
Romania,2021,47.0
Romania,2022,87.0
Romania,2023,107.0
Serbia,2011,9.0
Serbia,2012,13.0
Serbia,2013,17.0
Serbia,2014,21.0
Serbia,2015,12.0
Serbia,2016,8.0
Serbia,2017,26.0
Serbia,2018,19.0
Serbia,2019,16.0
Serbia,2020,21.0
Serbia,2021,27.0
Serbia,2022,25.0
Serbia,2023,21.0
Sweden,2011,3072.0
Sweden,2012,3136.0
Sweden,2013,3044.0
Sweden,2014,3128.0
Sweden,2015,3179.0
Sweden,2016,3311.0
Sweden,2017,3526.0
Sweden,2018,3840.0
Sweden,2019,4020.0
Sweden,2020,3958.0
Sweden,2021,4637.0
Sweden,2022,4196.0
Sweden,2023,4196.0
Slovenia,2011,168.0
Slovenia,2012,126.0
Slovenia,2013,153.0
Slovenia,2014,165.0
Slovenia,2015,149.0
Slovenia,2016,162.0
Slovenia,2017,152.0
Slovenia,2018,136.0
Slovenia,2019,169.0
Slovenia,2020,222.0
Slovenia,2021,136.0
Slovenia,2022,169.0
Slovenia,2023,179.0
Slovakia,2011,54.0
Slovakia,2012,47.0
Slovakia,2013,45.0
Slovakia,2014,42.0
Slovakia,2015,64.0
Slovakia,2016,63.0
Slovakia,2017,67.0
Slovakia,2018,79.0
Slovakia,2019,78.0
Slovakia,2020,96.0
Slovakia,2021,60.0
Slovakia,2022,94.0
Slovakia,2023,122.0
